Date,Median Nominal Earnings
1979-01-01,234
1979-04-01,239
1979-07-01,240
1979-10-01,249
1980-01-01,256
1980-04-01,257
1980-07-01,262
1980-10-01,271
1981-01-01,278
1981-04-01,279
1981-07-01,281
1981-10-01,294
1982-01-01,298
1982-04-01,301
1982-07-01,299
1982-10-01,308
1983-01-01,311
1983-04-01,311
1983-07-01,311
1983-10-01,318
1984-01-01,323
1984-04-01,323
1984-07-01,322
1984-10-01,335
1985-01-01,336
1985-04-01,347
1985-07-01,340
1985-10-01,351
1986-01-01,354
1986-04-01,358
1986-07-01,354
1986-10-01,368
1987-01-01,369
1987-04-01,371
1987-07-01,371
1987-10-01,381
1988-01-01,385
1988-04-01,382
1988-07-01,381
1988-10-01,392
1989-01-01,397
1989-04-01,398
1989-07-01,395
1989-10-01,408
1990-01-01,413
1990-04-01,411
1990-07-01,406
1990-10-01,419
1991-01-01,432
1991-04-01,422
1991-07-01,421
1991-10-01,432
1992-01-01,443
1992-04-01,436
1992-07-01,437
1992-10-01,445
1993-01-01,456
1993-04-01,455
1993-07-01,456
1993-10-01,467
1994-01-01,469
1994-04-01,465
1994-07-01,462
1994-10-01,472
1995-01-01,478
1995-04-01,475
1995-07-01,479
1995-10-01,484
1996-01-01,489
1996-04-01,486
1996-07-01,488
1996-10-01,499
1997-01-01,504
1997-04-01,499
1997-07-01,499
1997-10-01,511
1998-01-01,521
1998-04-01,515
1998-07-01,520
1998-10-01,541
1999-01-01,538
1999-04-01,543
1999-07-01,546
1999-10-01,568
2000-01-01,573
2000-04-01,569
2000-07-01,574
2000-10-01,585
2001-01-01,589
2001-04-01,592
2001-07-01,596
2001-10-01,606
2002-01-01,611
2002-04-01,605
2002-07-01,603
2002-10-01,613
2003-01-01,620
2003-04-01,616
2003-07-01,618
2003-10-01,625
2004-01-01,634
2004-04-01,639
2004-07-01,632
2004-10-01,647
2005-01-01,653
2005-04-01,643
2005-07-01,649
2005-10-01,659
2006-01-01,668
2006-04-01,659
2006-07-01,675
2006-10-01,682
2007-01-01,693
2007-04-01,690
2007-07-01,695
2007-10-01,700
2008-01-01,719
2008-04-01,719
2008-07-01,720
2008-10-01,728
2009-01-01,738
2009-04-01,734
2009-07-01,738
2009-10-01,748
2010-01-01,754
2010-04-01,740
2010-07-01,740
2010-10-01,752
2011-01-01,755
2011-04-01,753
2011-07-01,753
2011-10-01,764
2012-01-01,769
2012-04-01,771
2012-07-01,758
2012-10-01,775
2013-01-01,773
2013-04-01,776
2013-07-01,771
2013-10-01,786
2014-01-01,796
2014-04-01,780
2014-07-01,790
2014-10-01,799
2015-01-01,808
2015-04-01,801
2015-07-01,803
2015-10-01,825
2016-01-01,830
2016-04-01,824
2016-07-01,827
2016-10-01,849
2017-01-01,865
2017-04-01,859
2017-07-01,859
2017-10-01,857
2018-01-01,881
2018-04-01,876
2018-07-01,887
2018-10-01,900
2019-01-01,905
